yyyymm,PTFSBD,PTFSFX,PTFSCOM,PTFSIR,PTFSSTK,,,,,,,,,,
199401,-0.1323,-0.3013,-0.2219,-0.0648,0.0852,,,,,,,,,,
199402,0.4586,0.1357,-0.1371,0.1477,-0.1275,,,,,,,,,,
199403,0.3617,-0.1103,0.0254,0.0337,-0.0216,,,,,,,,,,
199404,0.113,-0.0765,0.0048,0.0065,-0.2199,,,,,,,,,,
199405,0.0596,-0.2921,-0.0281,0.0338,-0.0244,,,,,,,,,,
199406,0.2009,0.2803,-0.076,0.1562,0.0309,,,,,,,,,,
199407,-0.1971,-0.0583,-0.0552,0.0087,-0.1775,,,,,,,,,,
199408,-0.0948,-0.143,-0.1079,-0.1415,0.0171,,,,,,,,,,
199409,0.1126,-0.0526,0.0114,-0.1262,-0.0606,,,,,,,,,,
199410,-0.1297,0.044,-0.0931,-0.1468,-0.1539,,,,,,,,,,
199411,-0.1478,-0.2259,-0.1022,0.1931,0.012,,,,,,,,,,
199412,-0.0631,-0.1584,-0.1202,0.2424,-0.0684,,,,,,,,,,
199501,-0.187,-0.1157,-0.0419,-0.0504,-0.0645,,,,,,,,,,
199502,-0.0548,0.1268,-0.1068,0.1796,0.0318,,,,,,,,,,
199503,0.0556,0.9027,0.2349,0.5089,0.0359,,,,,,,,,,
199504,-0.1276,-0.1266,0.0537,0.0593,-0.0299,,,,,,,,,,
199505,0.4248,-0.1444,-0.0999,0.3223,0.0139,,,,,,,,,,
199506,0.0687,-0.2104,0.0694,0.0033,0.0014,,,,,,,,,,
199507,-0.1803,-0.2289,-0.2272,-0.1785,0.105,,,,,,,,,,
199508,-0.1192,0.5055,-0.0948,-0.0179,-0.0763,,,,,,,,,,
199509,-0.0248,0.0813,0.0051,-0.019,-0.062,,,,,,,,,,
199510,-0.0799,-0.18,-0.1341,-0.15,-0.1349,,,,,,,,,,
199511,0.0568,-0.1524,-0.1439,-0.076,-0.11,,,,,,,,,,
199512,0.0099,-0.1672,0.089,-0.2171,-0.1092,,,,,,,,,,
199601,0.029,-0.0653,-0.0221,0.0491,0.1809,,,,,,,,,,
199602,0.0928,-0.2731,-0.0114,-0.0928,-0.1318,,,,,,,,,,
199603,-0.0172,-0.2241,-0.0481,-0.0884,0.0423,,,,,,,,,,
199604,-0.1098,-0.0787,0.3154,-0.1832,-0.1291,,,,,,,,,,
199605,-0.1342,0.0289,-0.2294,-0.0142,-0.1579,,,,,,,,,,
199606,-0.1359,-0.1656,0.0826,-0.0048,-0.1617,,,,,,,,,,
199607,0.0266,0.091,-0.035,0.3165,0.0073,,,,,,,,,,
199608,0.0286,-0.2974,0.0297,0.1603,-0.0837,,,,,,,,,,
199609,0.0269,-0.0112,0.051,-0.0336,-0.0615,,,,,,,,,,
199610,0.148,0.3708,0.236,0.0801,-0.0276,,,,,,,,,,
199611,0.1386,0.0928,0.1084,0.0766,0.0719,,,,,,,,,,
199612,-0.0986,0.2781,-0.0841,-0.0904,0.0098,,,,,,,,,,
199701,-0.0366,0.4116,0.0837,-0.1294,0.1579,,,,,,,,,,
199702,-0.0493,0.0238,0.2399,-0.0667,0.0154,,,,,,,,,,
199703,-0.0192,-0.1424,-0.0435,-0.0808,-0.0699,,,,,,,,,,
199704,-0.1747,-0.1312,0.0253,-0.0381,-0.1235,,,,,,,,,,
199705,0.0392,0.1076,-0.0159,0.1502,0.2814,,,,,,,,,,
199706,-0.0986,-0.0673,0.077,-0.1096,0.0531,,,,,,,,,,
199707,0.3084,0.3244,0.2055,-0.0026,0.2351,,,,,,,,,,
199708,-0.0795,0.0462,-0.1416,0.0043,0.0334,,,,,,,,,,
199709,0.0033,-0.114,-0.0301,-0.1253,-0.0339,,,,,,,,,,
199710,0.04,0.1096,0.0675,0.3537,0.2905,,,,,,,,,,
199711,-0.1532,-0.0119,-0.0658,-0.0422,-0.2034,,,,,,,,,,
199712,0.0058,-0.0815,0.2133,0.0241,-0.1497,,,,,,,,,,
199801,0.1949,-0.0443,0.0402,0.1521,-0.0742,,,,,,,,,,
199802,-0.0817,-0.2408,-0.0344,-0.0996,0.0532,,,,,,,,,,
199803,-0.1072,-0.0164,-0.0963,-0.1081,0.0886,,,,,,,,,,
199804,-0.1955,-0.1792,-0.1086,-0.1331,-0.1004,,,,,,,,,,
199805,0.0357,-0.0239,0.1779,-0.1894,-0.3019,,,,,,,,,,
199806,0.0119,0.0235,0.0544,0.918,-0.14,,,,,,,,,,
199807,-0.1491,-0.2134,-0.0159,-0.1698,-0.0808,,,,,,,,,,
199808,0.6886,0.1349,0.2308,0.1352,0.4615,,,,,,,,,,
199809,0.3286,0.1197,-0.0763,0.0161,0.016,,,,,,,,,,
199810,-0.036,0.3015,-0.0795,0.031,-0.1291,,,,,,,,,,
199811,-0.0969,-0.1423,-0.0254,-0.2031,0.0519,,,,,,,,,,
199812,-0.0368,0.0948,0.0873,-0.0506,-0.0261,,,,,,,,,,
199901,0.0728,-0.1303,-0.0508,-0.2203,-0.0299,,,,,,,,,,
199902,0.2239,0.2292,0.0751,0.2101,-0.2623,,,,,,,,,,
199903,-0.1357,-0.1148,-0.0029,-0.0682,-0.1878,,,,,,,,,,
199904,-0.0739,-0.1472,-0.085,0.0024,-0.0237,,,,,,,,,,
199905,0.0344,-0.0251,0.081,0.0689,-0.1928,,,,,,,,,,
199906,0.2024,-0.0708,-0.0661,-0.053,-0.1748,,,,,,,,,,
199907,0.0362,0.2381,0.1102,0.0047,-0.1156,,,,,,,,,,
199908,-0.0785,-0.1622,-0.1104,-0.0291,-0.2006,,,,,,,,,,
199909,-0.0472,0.0946,0.6475,-0.085,-0.075,,,,,,,,,,
199910,0.0321,-0.1582,-0.0816,-0.102,-0.1845,,,,,,,,,,
199911,0.0325,0.1896,-0.1049,-0.2158,0.004,,,,,,,,,,
199912,0.0158,-0.1506,-0.0708,-0.0566,-0.0113,,,,,,,,,,
200001,0.1499,0.0933,-0.0835,-0.2203,-0.1171,,,,,,,,,,
200002,-0.08,0.0679,0.0412,-0.0667,-0.1892,,,,,,,,,,
200003,0.2121,-0.027,-0.0733,-0.1377,0.0325,,,,,,,,,,
200004,-0.0559,0.0382,-0.1063,0.0419,-0.087,,,,,,,,,,
200005,-0.0371,0.0427,-0.0555,0.2504,-0.2058,,,,,,,,,,
200006,-0.0201,-0.1888,0.0304,-0.0998,-0.1477,,,,,,,,,,
200007,-0.114,-0.1646,-0.1561,-0.14,-0.1868,,,,,,,,,,
200008,-0.1443,0.2484,0.0588,0.0199,-0.19,,,,,,,,,,
200009,-0.1458,0.0066,-0.1347,-0.1072,0.0388,,,,,,,,,,
200010,-0.2392,-0.0082,-0.1411,-0.1552,-0.1046,,,,,,,,,,
200011,0.1718,-0.1357,-0.1466,0.0115,-0.0219,,,,,,,,,,
200012,0.0505,0.1416,-0.0481,0.0878,-0.0777,,,,,,,,,,
200101,-0.0577,-0.1218,-0.0428,0.6042,-0.2523,,,,,,,,,,
200102,-0.066,-0.133,0.0052,0.006,-0.0417,,,,,,,,,,
200103,-0.0611,0.096,0.1158,0.0706,0.0566,,,,,,,,,,
200104,0.3187,-0.2394,-0.1307,0.0296,-0.1248,,,,,,,,,,
200105,0.0054,0.058,-0.0308,-0.0685,-0.1232,,,,,,,,,,
200106,-0.0545,-0.0861,-0.0289,0.0007,-0.1509,,,,,,,,,,
200107,-0.0117,0.0113,-0.058,-0.0819,-0.0738,,,,,,,,,,
200108,0.021,0.1615,-0.1791,0.0074,0.0455,,,,,,,,,,
200109,-0.064,0.0843,0.3704,0.987,0.3674,,,,,,,,,,
200110,0.4365,-0.1668,-0.0528,0.0907,-0.0973,,,,,,,,,,
200111,0.0732,-0.0964,-0.1057,0.0241,-0.0651,,,,,,,,,,
200112,0.3026,0.0177,-0.0632,-0.1374,-0.1545,,,,,,,,,,
200201,-0.2133,-0.0571,-0.1892,-0.1419,-0.2494,,,,,,,,,,
200202,-0.1367,-0.2477,0.0494,-0.1402,-0.2222,,,,,,,,,,
200203,0.0926,-0.0566,0.0776,0.1205,-0.1645,,,,,,,,,,
200204,-0.2349,0.0831,-0.0976,-0.1318,-0.0905,,,,,,,,,,
200205,-0.1447,0.2176,-0.0105,-0.0584,-0.1594,,,,,,,,,,
200206,0.1166,0.5534,-0.0249,-0.016,0.1289,,,,,,,,,,
200207,0.1124,-0.0303,-0.0041,0.3341,0.4167,,,,,,,,,,
200208,0.1299,-0.0978,-0.1705,-0.0448,-0.0748,,,,,,,,,,
200209,0.1906,-0.0392,0.0279,-0.0608,0.0455,,,,,,,,,,
200210,-0.204,-0.2804,-0.1591,-0.2034,-0.2288,,,,,,,,,,
200211,-0.1358,-0.0929,-0.0987,-0.2062,-0.1221,,,,,,,,,,
200212,0.0535,0.4036,0.1752,-0.0858,-0.0677,,,,,,,,,,
200301,-0.0863,0.0316,-0.0819,-0.2281,-0.0416,,,,,,,,,,
200302,0.0722,-0.0977,-0.0091,0.2217,-0.0175,,,,,,,,,,
200303,-0.0088,0.0335,-0.0651,-0.0058,0.0591,,,,,,,,,,
200304,-0.2341,-0.1113,-0.1111,-0.2095,-0.0525,,,,,,,,,,
200305,0.192,0.252,0.1527,-0.0557,0.0491,,,,,,,,,,
200306,-0.0496,-0.0578,-0.1576,0.0573,-0.0747,,,,,,,,,,
200307,0.2362,0.0336,0.1524,-0.0753,-0.2153,,,,,,,,,,
200308,-0.081,0.0644,0.2395,0.1129,-0.1338,,,,,,,,,,
200309,0.0248,0.4498,-0.006,-0.1488,0.0107,,,,,,,,,,
200310,-0.1696,-0.0844,0.0168,-0.1052,-0.2446,,,,,,,,,,
200311,-0.1135,0.1099,-0.0829,0.0399,-0.1838,,,,,,,,,,
200312,-0.0727,0.0298,-0.0034,-0.0865,-0.0168,,,,,,,,,,
200401,-0.143,0.0002,0.0347,-0.1159,-0.1185,,,,,,,,,,
200402,-0.0995,-0.0708,0.0742,-0.0689,-0.1489,,,,,,,,,,
200403,-0.0066,0.1229,0.1488,-0.0159,-0.0158,,,,,,,,,,
200404,-0.0197,-0.0792,0.1052,0.0233,-0.1817,,,,,,,,,,
200405,-0.1318,-0.1197,0.1111,0.1507,-0.2593,,,,,,,,,,
200406,-0.1708,-0.1787,-0.0934,-0.1829,-0.1557,,,,,,,,,,
200407,-0.1162,-0.0878,0.1543,-0.2465,-0.1818,,,,,,,,,,
200408,0.0067,-0.3,-0.0605,-0.0733,-0.2299,,,,,,,,,,
200409,-0.1239,-0.1531,0.0183,-0.1371,-0.0806,,,,,,,,,,
200410,-0.0554,0.233,-0.0564,-0.0733,0.0669,,,,,,,,,,
200411,-0.0434,0.4175,-0.0411,0.0103,0.1311,,,,,,,,,,
200412,-0.0339,-0.0597,-0.1124,-0.1358,0.0153,,,,,,,,,,
200501,-0.0993,-0.1111,-0.1252,-0.1626,-0.1946,,,,,,,,,,
200502,-0.0299,-0.0531,0.4059,0.1073,0.0572,,,,,,,,,,
200503,-0.1335,-0.004,-0.1001,-0.1247,0.0282,,,,,,,,,,
200504,0.0064,-0.138,-0.2013,-0.0465,0.0748,,,,,,,,,,
200505,0.0363,0.3651,-0.0163,-0.0895,-0.266,,,,,,,,,,
200506,0.0097,-0.0409,-0.021,0.1917,0.0016,,,,,,,,,,
200507,-0.2595,-0.0293,-0.2199,-0.0479,0.0676,,,,,,,,,,
200508,0.0335,-0.1754,0.0121,-0.0899,-0.0747,,,,,,,,,,
200509,-0.1313,0.188,0.06,0.2563,0.0418,,,,,,,,,,
200510,-0.0332,-0.0213,-0.1069,0.2853,0.0004,,,,,,,,,,
200511,-0.105,0.1842,0.0165,-0.0085,-0.1111,,,,,,,,,,
200512,-0.0186,0.0061,0.0991,-0.0661,-0.0602,,,,,,,,,,
200601,-0.2374,-0.0805,0.0496,-0.2921,0.076,,,,,,,,,,
200602,-0.1832,-0.1338,-0.1007,-0.1585,-0.1843,,,,,,,,,,
200603,-0.0662,-0.1037,-0.0589,0.0398,-0.0084,,,,,,,,,,
200604,0.198,0.3177,0.2275,0.0944,-0.0007,,,,,,,,,,
200605,-0.0696,0.1569,-0.0457,0.1516,0.0763,,,,,,,,,,
200606,-0.1495,-0.1262,-0.0196,-0.1261,-0.0837,,,,,,,,,,
200607,-0.1733,-0.1157,-0.2304,-0.0069,-0.1068,,,,,,,,,,
200608,-0.0956,-0.0811,-0.0639,-0.0415,-0.2145,,,,,,,,,,
200609,-0.0386,-0.2034,0.0361,-0.1738,-0.0491,,,,,,,,,,
200610,-0.2079,-0.0933,0.3959,-0.0968,0.0165,,,,,,,,,,
200611,-0.1081,0.4743,0.0003,-0.2612,-0.0398,,,,,,,,,,
